committee_id,candidate_name,state_full,disbursement_date,disbursement_description,disbursement_amount,recipient_name,pdf_url,sub_id,two_years_after_office,two_years_after_last_election,after_death,TIMES_CATEGORY
C00149732,"PACKARD, RONALD C",California,2004-02-10 00:00:00,,500.0,Nethercutt for Senate,http://docquery.fec.gov/cgi-bin/fecimg/?24038481676,2080520041041122774,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2003-07-12 00:00:00,,5000.0,ARMPAC,http://docquery.fec.gov/cgi-bin/fecimg/?23038224190,2103120031036131791,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2003-07-24 00:00:00,,2000.0,Friends of Ernest Istook,http://docquery.fec.gov/cgi-bin/fecimg/?23038224189,2103120031036131789,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2004-03-23 00:00:00,,1000.0,Porter for Congress,http://docquery.fec.gov/cgi-bin/fecimg/?24038481677,2080520041041122777,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2006-10-11 00:00:00,CAMPAIGN CONTRIBUTION,250.0,"HOLT PFEILER, LORI",http://docquery.fec.gov/cgi-bin/fecimg/?27960024075,4013020071074772064,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2007-01-22 00:00:00,CHARITABLE CONTRIBUTION,300.0,CALIFORNIA WATER AWARENESS CAMPAIGN,http://docquery.fec.gov/cgi-bin/fecimg/?27930464356,4040620071076302159,True,False,False,charitable donation
C00149732,"PACKARD, RONALD C",California,2007-02-20 00:00:00,CHARITABLE CONTRIBUTION,1000.0,CALIFORNIA BUILDING INDUSTRY FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?27930464355,4040620071076302158,True,False,False,charitable donation
C00149732,"PACKARD, RONALD C",California,2007-02-20 00:00:00,CAMPAIGN CONTRIBUTION FOR CITY COUNCIL,250.0,DICK DANIELS FOR CITY COUNCIL,http://docquery.fec.gov/cgi-bin/fecimg/?27930464356,4040620071076302160,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2007-02-23 00:00:00,CAMPAIGN CONTRIBUTION,2300.0,BRIAN BILBRAY FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?27930464355,4040620071076302157,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2007-03-06 00:00:00,CAMPAIGN CONTRIBUTION,2000.0,ROMNEY FOR PRESIDENT INC.,http://docquery.fec.gov/cgi-bin/fecimg/?27930464357,4040620071076302163,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2007-03-09 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,BOB BUSTER FOR SUPERVISOR,http://docquery.fec.gov/cgi-bin/fecimg/?27930464355,4040620071076302156,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2007-03-09 00:00:00,CAMPAIGN CONTRIBUTION FOR CITY COUNCIL,1000.0,MIKE NAGGAR FOR COUNTY SUPERVISOR,http://docquery.fec.gov/cgi-bin/fecimg/?27930464357,4040620071076302162,True,False,False,political contribution/ties to lobbying industry
C00149732,"PACKARD, RONALD C",California,2007-03-09 00:00:00,CAMPAIGN CONTRIBUTION FOR COUNTY SUPERVI,1000.0,"STONE, JEFF",http://docquery.fec.gov/cgi-bin/fecimg/?27930464357,4040620071076302164,True,False,False,political contribution/ties to lobbying industry
